Section,Testpoint,Description
Analog_1,TP13,DIS_PRESS
Analog_1,TP18,SUC_PRESS+
Analog_1,TP19,SUC_PRESS-
Analog_1,TP26,SUC_PRESS_AMP+
Analog_1,TP25,SUC_PRESS_AMP-
Analog_1,TP30,SUC_PRESS
Analog_1,TP3,VALVE_FB+
Analog_1,TP4,VALVE_FB-
Analog_1,TP10,VALVE_FB_AMP+
Analog_1,TP9,VALVE_FB_AMP-
Analog_1,TP14,VALVE_FB
Analog_1,TP16,FLOW+
Analog_1,TP17,FLOW-
Analog_1,TP24,FLOW_AMP+
Analog_1,TP23,FLOW_AMP-
Analog_1,TP29,COND_FLOW
Analog_1,TP5,FLWMTR_14-20+
Analog_1,TP6,FLWMTR_14-20-
Analog_1,TP12,FLWMTR_14-20_AMP+
Analog_1,TP11,FLWMTR_14-20_AMP-
Analog_1,TP15,EVAP_FLOW
Analog_1,TP20,ANALOG0_PWM_D0
Analog_1,TP21,ANALOG0_PWM_D0+
Analog_1,TP22,ANALOG0_PWM_D0-
Analog_1,TP27,ANALOG0_PWM_D0_AMP_OUT
Analog_1,TP28,0-10V_OUT
Comm_0,TP33,A_BMS
Comm_0,TP34,A_BMS_IC
Comm_0,TP42,BMS_DE
Comm_0,TP47,BMS_RX_DOM
Comm_0,TP48,BMS_TX_DOM
Analog_0,TP205,DISCHARGE_TEMP
Analog_0,TP208,DISCHARGE_TMP
Analog_0,TP207,OUTDOOR_TEMP
Analog_0,TP210,OUTDOOR_TMP
Analog_0,TP206,COND_OUT_WATER_TEMP
Analog_0,TP209,COND_OUT_TMP
Analog_0,TP213,COND_IN_WATER_TEMP
Analog_0,TP216,COND_IN_TMP
Analog_0,TP214,LQD_LINE_TEMP
Analog_0,TP217,LQD_LINE_TMP
Analog_0,TP215,RESERVED_TEMP
Analog_0,TP218,RESERVED_TEMP_IN
Analog_0,TP219,SUCTION_TMP
Analog_0,TP222,SUC_TMP
Analog_0,TP220,DEFROST_TEMP
Analog_0,TP223,EVAP_OUT_TMP
Analog_0,TP221,TANK1_TEMP
Analog_0,TP224,TANK_PRI_BTM_TMP
Analog_0,TP211,TANK2_TEMP
Analog_0,TP212,TANK_CNTR_TMP
Analog_0,TP225,RES_TMP
Analog_0,TP226,EVAP_2_TMP
Analog_0,TP227,EVAP_IN_TMP
Analog_0,TP228,NTC3_TEMP_OUT
Analog_0,TP229,NTC2_TEMP_OUT
Analog_0,TP230,NTC1_TEMP_OUT
DigitalOut_0,TP108,EVAP_HEAT_SFTY
DigitalOut_0,TP113,EVAP_HEAT_SFTY_N1
DigitalOut_0,TP115,EVAP_HEAT_SFTY_N2
DigitalOut_0,TP118,EVAP_HEAT_SFTY_N3
DigitalOut_0,TP121,EVAP_HEAT_SFTY_N4
DigitalOut_0,TP111,EVAP_HEAT
DigitalOut_0,TP114,EVAP_HEAT_N1
DigitalOut_0,TP116,EVAP_HEAT_N2
DigitalOut_0,TP120,EVAP_HEAT_N3
DigitalOut_0,TP122,EVAP_HEAT_N4
DigitalOut_0,TP90,COND_HEAT_AUX
DigitalOut_0,TP94,COND_HEAT_AUX_N1
DigitalOut_0,TP97,COND_HEAT_AUX_N2
DigitalOut_0,TP99,COND_HEAT_AUX_N3
DigitalOut_0,TP107,COMP_HEAT_AUX
DigitalOut_0,TP109,COMP_HEAT_AUX_N1
DigitalOut_0,TP110,COMP_HEAT_AUX_N2
DigitalOut_0,TP112,COMP_HEAT_AUX_N3
DigitalOut_0,TP92,RES_DO_1
DigitalOut_0,TP98,RES_DO_1_N1
DigitalOut_0,TP102,RES_DO_1_N2
DigitalOut_0,TP100,RES_DO_1_N3
DigitalOut_0,TP117,OUTPUT_SFTY
DigitalOut_0,TP119,OUTPUT_SFTY_N1
DigitalOut_0,TP123,OUTPUT_SFTY_N2
DigitalOut_0,TP124,+12V
DigitalOut_1,TP125,SOL_VALVE
DigitalOut_1,TP128,SOL_VALVE_N1
DigitalOut_1,TP129,SOL_VALVE_N2
DigitalOut_1,TP132,SOL_VALVE_N3
DigitalOut_1,TP138,RES_DO_2
DigitalOut_1,TP141,RES_DO_2_N1
DigitalOut_1,TP144,RES_DO_2_N2
DigitalOut_1,TP147,RES_DO_2_N3
DigitalOut_1,TP126,COND_PUMP
DigitalOut_1,TP130,COND_PUMP_N1
DigitalOut_1,TP135,COND_PUMP_N2
DigitalOut_1,TP133,COND_PUMP_N3
DigitalOut_1,TP137,RES_DO_3
DigitalOut_1,TP140,RES_DO_3_N1
DigitalOut_1,TP143,RES_DO_3_N2
DigitalOut_1,TP146,RES_DO_3_N3
DigitalOut_1,TP127,RES_DO_4
DigitalOut_1,TP131,RES_DO_4_N1
DigitalOut_1,TP134,RES_DO_4_N2
DigitalOut_1,TP136,RES_DO_4_N3
DigitalOut_1,TP139,FAN_PUMP_EVAP
DigitalOut_1,TP142,FAN_PUMP_EVAP_N1
DigitalOut_1,TP145,FAN_PUMP_EVAP_N2
DigitalOut_1,TP148,FAN_PUMP_EVAP_N3
EEVout,TP51,EEV1_AOUT1_RED
EEVout,TP63,EEV1_AOUT2_GREEN
EEVout,TP59,EEV1_BOUT2_WHITE
EEVout,TP149,EEV1_BOUT1_BLACK
EEVout,TP150,EEV1_STEP
EEVout,TP152,EEV1_DIR
EEVout,TP153,EEV1_ENABLE
EEVout,TP158,EEV2_AOUT2_GREEN
EEVout,TP156,EEV2_AOUT1_RED
EEVout,TP157,EEV2_BOUT2_WHITE
EEVout,TP159,EEV2_BOUT1_BLACK
EEVout,TP160,EEV2_DIR
EEVout,TP161,EEV2_STEP
EEVout,TP164,EEV2_ENABLE
